r,C_n
1.460000000000000000e+02,2.238209617644315585e-13
1.470000000000000000e+02,3.268496584496460855e-13
1.480000000000000000e+02,3.694822225952520967e-13
1.490000000000000000e+02,4.440892098500626162e-13
1.500000000000000000e+02,4.867217739956686273e-13
1.510000000000000000e+02,4.618527782440651208e-13
1.520000000000000000e+02,5.151434834260726348e-13
1.530000000000000000e+02,5.400124791776761413e-13
1.540000000000000000e+02,2.486899575160350651e-13
1.550000000000000000e+02,3.588240815588505939e-13
1.560000000000000000e+02,3.943512183468556032e-13
1.570000000000000000e+02,4.654054919228656217e-13
1.580000000000000000e+02,5.044853423896711320e-13
1.590000000000000000e+02,4.867217739956686273e-13
1.600000000000000000e+02,5.435651928564766422e-13
1.610000000000000000e+02,5.648814749292796478e-13
1.620000000000000000e+02,2.771116669464390725e-13
1.630000000000000000e+02,3.836930773104541004e-13
1.640000000000000000e+02,4.298783551348606125e-13
1.650000000000000000e+02,4.902744876744691283e-13
1.660000000000000000e+02,5.364597654988756403e-13
1.670000000000000000e+02,5.115907697472721338e-13
1.680000000000000000e+02,5.719869022868806496e-13
1.690000000000000000e+02,6.004086117172846571e-13
1.700000000000000000e+02,3.161915174132445827e-13
1.710000000000000000e+02,4.156675004196586087e-13
1.720000000000000000e+02,4.583000645652646199e-13
1.730000000000000000e+02,5.151434834260726348e-13
1.740000000000000000e+02,5.577760475716786459e-13
1.750000000000000000e+02,5.400124791776761413e-13
1.760000000000000000e+02,6.075140390748856589e-13
1.770000000000000000e+02,6.252776074688881636e-13
1.780000000000000000e+02,3.375077994860475883e-13
1.790000000000000000e+02,4.405364961712621152e-13
1.800000000000000000e+02,4.902744876744691283e-13
1.810000000000000000e+02,5.435651928564766422e-13
1.820000000000000000e+02,5.826450433232821524e-13
1.830000000000000000e+02,5.648814749292796478e-13
1.840000000000000000e+02,6.288303211476886645e-13
1.850000000000000000e+02,6.536993168992921710e-13
1.860000000000000000e+02,3.659295089164515957e-13
1.870000000000000000e+02,4.689582056016661227e-13
1.880000000000000000e+02,5.115907697472721338e-13
1.890000000000000000e+02,5.719869022868806496e-13
1.900000000000000000e+02,6.252776074688881636e-13
1.910000000000000000e+02,5.933031843596836552e-13
1.920000000000000000e+02,6.501466032204916701e-13
1.930000000000000000e+02,6.714628852932946756e-13
1.940000000000000000e+02,3.801403636316535994e-13
1.950000000000000000e+02,4.867217739956686273e-13
1.960000000000000000e+02,5.329070518200751394e-13
1.970000000000000000e+02,5.933031843596836552e-13
1.980000000000000000e+02,6.501466032204916701e-13
1.990000000000000000e+02,6.217248937900876626e-13
