r,C_d
1.120000000000000000e+02,3.771996596768867338e+00
1.130000000000000000e+02,3.771886016091059446e+00
1.140000000000000000e+02,3.772042867338156746e+00
1.150000000000000000e+02,3.771584556608737149e+00
1.160000000000000000e+02,3.772194026943195055e+00
1.170000000000000000e+02,3.772036245654162734e+00
1.180000000000000000e+02,3.772230473739544898e+00
1.190000000000000000e+02,3.771764721449458957e+00
1.200000000000000000e+02,3.772332743823176404e+00
1.210000000000000000e+02,3.772216851541890126e+00
1.220000000000000000e+02,3.772396426390866697e+00
1.230000000000000000e+02,3.771896959847929054e+00
1.240000000000000000e+02,3.772510794787605093e+00
1.250000000000000000e+02,3.772372854251360597e+00
1.260000000000000000e+02,3.772526621686255854e+00
1.270000000000000000e+02,3.772072964730162070e+00
1.280000000000000000e+02,3.772654208776663687e+00
1.290000000000000000e+02,3.772500553857331074e+00
1.300000000000000000e+02,3.772696408985519501e+00
1.310000000000000000e+02,3.772199125107039031e+00
1.320000000000000000e+02,3.772776857878608059e+00
1.330000000000000000e+02,3.772661326869546805e+00
1.340000000000000000e+02,3.772811926434081364e+00
1.350000000000000000e+02,3.772323860482326374e+00
1.360000000000000000e+02,3.772932900943874568e+00
1.370000000000000000e+02,3.772771194634938041e+00
1.380000000000000000e+02,3.772937816839057046e+00
1.390000000000000000e+02,3.772470217452601471e+00
1.400000000000000000e+02,3.773031673993449520e+00
1.410000000000000000e+02,3.772894183825583614e+00
1.420000000000000000e+02,3.773073620005467088e+00
1.430000000000000000e+02,3.772558895671515700e+00
1.440000000000000000e+02,3.773153917423537340e+00
1.450000000000000000e+02,3.773021106266781999e+00
1.460000000000000000e+02,3.773158435505255870e+00
1.470000000000000000e+02,3.772684567285757407e+00
1.480000000000000000e+02,3.773272592489505861e+00
1.490000000000000000e+02,3.773104275234648419e+00
1.500000000000000000e+02,3.773283197629765162e+00
1.510000000000000000e+02,3.772788687735313395e+00
1.520000000000000000e+02,3.773349551498230703e+00
1.530000000000000000e+02,3.773223683025886288e+00
1.540000000000000000e+02,3.773376574528213290e+00
1.550000000000000000e+02,3.772865168873052344e+00
1.560000000000000000e+02,3.773468258440998202e+00
1.570000000000000000e+02,3.773310945585510279e+00
1.580000000000000000e+02,3.773454656395516249e+00
1.590000000000000000e+02,3.772981652263698304e+00
1.600000000000000000e+02,3.773545913402296392e+00
1.610000000000000000e+02,3.773388692431078439e+00
1.620000000000000000e+02,3.773565287392164347e+00
1.630000000000000000e+02,3.773046891795076796e+00
1.640000000000000000e+02,3.773622635875272469e+00
1.650000000000000000e+02,3.773492240510153195e+00
1.660000000000000000e+02,3.773624309236357721e+00
1.670000000000000000e+02,3.773128718870668585e+00
1.680000000000000000e+02,3.773722314847211656e+00
1.690000000000000000e+02,3.773549108166740496e+00
1.700000000000000000e+02,3.773708582074665863e+00
1.710000000000000000e+02,3.773218889493545447e+00
1.720000000000000000e+02,3.773771958672707427e+00
1.730000000000000000e+02,3.773631382955047631e+00
1.740000000000000000e+02,3.773789643377679415e+00
1.750000000000000000e+02,3.773263976722273760e+00
1.760000000000000000e+02,3.773855517997431352e+00
1.770000000000000000e+02,3.773706159455670672e+00
1.780000000000000000e+02,3.773834660293016618e+00
1.790000000000000000e+02,3.773350933642642957e+00
1.800000000000000000e+02,3.773923282510087240e+00
1.810000000000000000e+02,3.773751750693199902e+00
1.820000000000000000e+02,3.773920422781102957e+00
1.830000000000000000e+02,3.773406454159693446e+00
1.840000000000000000e+02,3.773966360611869852e+00
1.850000000000000000e+02,3.773832906812983889e+00
1.860000000000000000e+02,3.773968164479593046e+00
1.870000000000000000e+02,3.773452966293821209e+00
1.880000000000000000e+02,3.774047263925647488e+00
1.890000000000000000e+02,3.773877402078397392e+00
1.900000000000000000e+02,3.774018145283203562e+00
1.910000000000000000e+02,3.773530461448644679e+00
1.920000000000000000e+02,3.774084469992214252e+00
1.930000000000000000e+02,3.773927825140460879e+00
1.940000000000000000e+02,3.774089691092058274e+00
1.950000000000000000e+02,3.773559487868251683e+00
1.960000000000000000e+02,3.774136240774513151e+00
1.970000000000000000e+02,3.773993691445010956e+00
1.980000000000000000e+02,3.774115996437469533e+00
1.990000000000000000e+02,3.773617339953042382e+00
2.000000000000000000e+02,3.774198346417227956e+00
2.010000000000000000e+02,3.774020119130392370e+00
2.020000000000000000e+02,3.774176182482647413e+00
2.030000000000000000e+02,3.773670000561478943e+00
2.040000000000000000e+02,3.774220548939848374e+00
2.050000000000000000e+02,3.774078396561555859e+00
2.060000000000000000e+02,3.774221091536764217e+00
2.070000000000000000e+02,3.773691900342111882e+00
2.080000000000000000e+02,3.774280789260416658e+00
2.090000000000000000e+02,3.774119107101351567e+00
2.100000000000000000e+02,3.774245378373459303e+00
2.110000000000000000e+02,3.773754236883498425e+00
2.120000000000000000e+02,3.774315387768106600e+00
2.130000000000000000e+02,3.774144991088883128e+00
2.140000000000000000e+02,3.774305627134356467e+00
2.150000000000000000e+02,3.773778953809275194e+00
2.160000000000000000e+02,3.774341302546289523e+00
2.170000000000000000e+02,3.774201032619229679e+00
2.180000000000000000e+02,3.774325235329583528e+00
2.190000000000000000e+02,3.773810510261208506e+00
2.200000000000000000e+02,3.774396758981083178e+00
2.210000000000000000e+02,3.774219531029184171e+00
2.220000000000000000e+02,3.774360822960070472e+00
2.230000000000000000e+02,3.773861137811582722e+00
2.240000000000000000e+02,3.774409956212672057e+00
2.250000000000000000e+02,3.774255518012971322e+00
2.260000000000000000e+02,3.774405434593587572e+00
2.270000000000000000e+02,3.773869917985340550e+00
2.280000000000000000e+02,3.774448480458244326e+00
2.290000000000000000e+02,3.774295652132141576e+00
