r,C_d
9.600000000000000000e+01,6.595041662842040376e-46
9.700000000000000000e+01,2.381983595833269125e-46
9.800000000000000000e+01,8.603200525354401926e-47
9.900000000000000000e+01,3.107253236192517628e-47
1.000000000000000000e+02,1.122268464479647010e-47
1.010000000000000000e+02,4.053431967972265640e-48
1.020000000000000000e+02,1.464016579463451178e-48
1.030000000000000000e+02,5.287714158639264414e-49
1.040000000000000000e+02,1.909808440304268018e-49
1.050000000000000000e+02,6.897819060461922669e-50
1.060000000000000000e+02,2.491344152383842949e-50
1.070000000000000000e+02,8.998101224124330939e-51
1.080000000000000000e+02,3.249910837880204108e-51
1.090000000000000000e+02,1.173810430188935264e-51
1.100000000000000000e+02,4.239565989415959428e-52
1.110000000000000000e+02,1.531241362805756552e-52
1.120000000000000000e+02,5.530516906607077676e-53
1.130000000000000000e+02,1.997505167635054311e-53
1.140000000000000000e+02,7.214562583068596025e-54
1.150000000000000000e+02,2.605717294682632816e-54
1.160000000000000000e+02,9.411264646151906693e-55
1.170000000000000000e+02,3.399183456090916392e-55
1.180000000000000000e+02,1.227716589546349104e-55
1.190000000000000000e+02,4.434252793014781902e-56
1.200000000000000000e+02,1.601557666944953086e-56
1.210000000000000000e+02,5.784486594919907725e-57
1.220000000000000000e+02,2.089233377458771937e-57
1.230000000000000000e+02,7.545782486631020973e-58
1.240000000000000000e+02,2.725367064733545387e-58
1.250000000000000000e+02,9.843547639618730263e-59
1.260000000000000000e+02,3.555291292783118750e-59
1.270000000000000000e+02,1.284096113661652603e-59
1.280000000000000000e+02,4.637881838269319757e-60
1.290000000000000000e+02,1.675104598856067185e-60
1.300000000000000000e+02,6.050121251790126031e-61
1.310000000000000000e+02,2.185150804994042076e-61
1.320000000000000000e+02,7.892273802079776003e-62
1.330000000000000000e+02,2.850550861631227369e-62
1.340000000000000000e+02,1.029561613366935456e-62
1.350000000000000000e+02,3.718559105461185268e-63
1.360000000000000000e+02,1.343064410460566429e-63
1.370000000000000000e+02,4.850863964361751546e-64
1.380000000000000000e+02,1.752028820950810203e-64
1.390000000000000000e+02,6.327885095784039922e-65
1.400000000000000000e+02,2.285489948039664600e-65
1.410000000000000000e+02,8.254788834925367279e-66
1.420000000000000000e+02,2.981463636944294159e-66
1.430000000000000000e+02,1.076841700584566113e-66
1.440000000000000000e+02,3.889323058129860001e-67
1.450000000000000000e+02,1.404741050340423399e-67
1.460000000000000000e+02,5.073625705469862017e-68
1.470000000000000000e+02,1.832465319357086254e-68
