r,C_n
1.890000000000000000e+02,-1.942200889652259121e+01
1.900000000000000000e+02,-1.857696383139073504e+01
1.910000000000000000e+02,-1.942136425812095268e+01
1.920000000000000000e+02,-1.857601128080714403e+01
1.930000000000000000e+02,-1.942200888980298146e+01
1.940000000000000000e+02,-1.857696375123577326e+01
1.950000000000000000e+02,-1.942136424248070625e+01
1.960000000000000000e+02,-1.857601121368643504e+01
1.970000000000000000e+02,-1.942200886840777940e+01
1.980000000000000000e+02,-1.857696369525276481e+01
1.990000000000000000e+02,-1.942136421283250058e+01
2.000000000000000000e+02,-1.857601116982888101e+01
2.010000000000000000e+02,-1.942200883391079458e+01
2.020000000000000000e+02,-1.857696366109760078e+01
2.030000000000000000e+02,-1.942136417069565368e+01
2.040000000000000000e+02,-1.857601114696064570e+01
2.050000000000000000e+02,-1.942200878776436923e+01
2.060000000000000000e+02,-1.857696364660013444e+01
2.070000000000000000e+02,-1.942136411747264901e+01
2.080000000000000000e+02,-1.857601114297656864e+01
2.090000000000000000e+02,-1.942200873130732219e+01
2.100000000000000000e+02,-1.857696364975338099e+01
2.110000000000000000e+02,-1.942136405445622671e+01
2.120000000000000000e+02,-1.857601115592982666e+01
2.130000000000000000e+02,-1.942200866577201879e+01
2.140000000000000000e+02,-1.857696366870370497e+01
2.150000000000000000e+02,-1.942136398283632559e+01
2.160000000000000000e+02,-1.857601118402214269e+01
2.170000000000000000e+02,-1.942200859229144072e+01
2.180000000000000000e+02,-1.857696370174075184e+01
2.190000000000000000e+02,-1.942136390370704646e+01
2.200000000000000000e+02,-1.857601122559440654e+01
2.210000000000000000e+02,-1.942200851190582966e+01
2.220000000000000000e+02,-1.857696374728843125e+01
2.230000000000000000e+02,-1.942136381807245726e+01
2.240000000000000000e+02,-1.857601127911775762e+01
2.250000000000000000e+02,-1.942200842556819396e+01
2.260000000000000000e+02,-1.857696380389619861e+01
2.270000000000000000e+02,-1.942136372685285295e+01
2.280000000000000000e+02,-1.857601134318528580e+01
2.290000000000000000e+02,-1.942200833415122929e+01
2.300000000000000000e+02,-1.857696387023081996e+01
2.310000000000000000e+02,-1.942136363089034035e+01
2.320000000000000000e+02,-1.857601141650375354e+01
